Rented Bike Count,Temperature(°C),Hour,Dew point temperature(°C),Solar Radiation (MJ/m2),Visibility (10m),Humidity(%),Rainfall(mm),Snowfall (cm)
254,-5.2,0,-17.6,0.0,2000,37,0.0,0.0
204,-5.5,1,-17.6,0.0,2000,38,0.0,0.0
173,-6.0,2,-17.7,0.0,2000,39,0.0,0.0
107,-6.2,3,-17.6,0.0,2000,40,0.0,0.0
78,-6.0,4,-18.6,0.0,2000,36,0.0,0.0
100,-6.4,5,-18.7,0.0,2000,37,0.0,0.0
181,-6.6,6,-19.5,0.0,2000,35,0.0,0.0
460,-7.4,7,-19.3,0.0,2000,38,0.0,0.0
930,-7.6,8,-19.8,0.01,2000,37,0.0,0.0
490,-6.5,9,-22.4,0.23,1928,27,0.0,0.0
339,-3.5,10,-21.2,0.65,1996,24,0.0,0.0
360,-0.5,11,-20.2,0.94,1936,21,0.0,0.0
449,1.7,12,-17.2,1.11,2000,23,0.0,0.0
451,2.4,13,-15.6,1.16,2000,25,0.0,0.0
447,3.0,14,-14.6,1.01,2000,26,0.0,0.0
463,2.1,15,-11.4,0.54,2000,36,0.0,0.0
484,1.2,16,-7.0,0.24,793,54,0.0,0.0
555,0.8,17,-6.5,0.08,2000,58,0.0,0.0
862,0.6,18,-5.0,0.0,2000,66,0.0,0.0
600,0.0,19,-3.5,0.0,2000,77,0.0,0.0
426,-0.3,20,-3.5,0.0,1913,79,0.0,0.0
405,-0.8,21,-3.6,0.0,1687,81,0.0,0.0
398,-0.9,22,-3.4,0.0,1380,83,0.0,0.0
323,-1.3,23,-3.6,0.0,1265,84,0.0,0.0
328,-1.8,0,-3.6,0.0,994,87,0.0,0.0
308,-2.2,1,-4.2,0.0,990,86,0.0,0.0
262,-2.9,2,-4.9,0.0,1256,86,0.0,0.0
167,-3.5,3,-6.2,0.0,1221,81,0.0,0.0
89,-3.8,4,-6.9,0.0,1167,79,0.0,0.0
79,-4.0,5,-7.1,0.0,1202,79,0.0,0.0
70,-4.3,6,-6.9,0.0,1178,82,0.0,0.0
146,-4.4,7,-7.1,0.0,1276,81,0.0,0.0
